"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"LT","EQ","05-Aug-2026","3,990.00","4,025.00","4,074.00","4,024.80","4,057.00","4,057.00","4,056.00","19,10,224","7,74,78,74,548.40","98,367","9,14,527","47.88"
"LT","EQ","04-Aug-2026","4,025.00","4,007.20","4,042.40","3,988.20","3,990.00","3,990.00","4,018.18","18,27,982","7,34,51,63,030.50","99,895","7,81,964","42.78"
"LT","EQ","03-Aug-2026","3,938.90","3,974.00","4,025.00","3,962.50","4,025.00","4,025.00","3,993.38","18,90,377","7,54,89,84,805.70","92,604","10,96,545","58.01"
"LT","EQ","31-Jul-2026","3,937.70","3,962.90","3,973.10","3,923.20","3,938.00","3,938.90","3,941.05","17,53,377","6,91,01,37,676.70","76,155","10,61,009","60.51"
"LT","EQ","30-Jul-2026","3,931.40","3,931.40","3,951.70","3,883.50","3,940.50","3,937.70","3,928.95","21,41,252","8,41,28,78,897.00","1,26,759","10,74,083","50.16"
"LT","EQ","29-Jul-2026","3,832.00","3,895.40","3,978.20","3,891.10","3,927.00","3,931.40","3,944.00","31,15,802","12,28,87,32,395.00","1,59,622","14,26,048","45.77"
"LT","EQ","28-Jul-2026","3,806.00","3,812.00","3,837.00","3,793.00","3,830.00","3,832.00","3,821.14","17,02,441","6,50,52,59,791.70","1,30,179","8,31,795","48.86"
"LT","EQ","27-Jul-2026","3,785.60","3,820.00","3,837.30","3,798.70","3,808.00","3,806.00","3,818.44","14,54,211","5,55,28,10,755.10","70,922","7,95,426","54.70"
"LT","EQ","24-Jul-2026","3,792.40","3,751.00","3,805.00","3,720.00","3,787.90","3,785.60","3,763.74","19,94,087","7,50,52,28,139.70","1,35,397","10,61,331","53.22"
"LT","EQ","23-Jul-2026","3,817.40","3,800.00","3,827.60","3,777.70","3,791.00","3,792.40","3,799.50","12,78,355","4,85,71,12,704.90","1,04,872","7,13,608","55.82"
"LT","EQ","22-Jul-2026","3,846.60","3,835.00","3,843.30","3,806.20","3,818.00","3,817.40","3,822.48","11,57,406","4,42,41,66,787.70","66,568","7,16,042","61.87"
