symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return,adjustment_factor_applied,adjusted_open_price,adjusted_high_price,adjusted_low_price,adjusted_close_price,adjusted_last_price,adjusted_average_price,adjusted_prev_close,adjusted_daily_return,corporate_action_date,raw_extreme_return,adjusted_extreme_return
BAJFINANCE,EQ,2024-06-05,6509.55,6604.0,6862.0,6535.55,6836.0,6836.65,6722.32,1218517,8191256807.3,135988,657388,53.95,0.0502492491800508,10.0,660.4,686.2,653.5550000000001,683.665,683.6,672.232,650.955,0.0502492491800508,False,False,False
BAJFINANCE,EQ,2024-06-06,6836.65,6850.0,7012.95,6822.3,6924.0,6925.8,6932.58,1465716,10161191156.5,159320,744530,50.8,0.0130400122867193,10.0,685.0,701.295,682.23,692.58,692.4,693.258,683.665,0.013040012286719582,False,False,False
BAJFINANCE,EQ,2024-06-07,6925.8,6995.0,7299.0,6941.0,7175.0,7191.4,7159.15,2984052,21363281429.45,225585,1105139,37.03,0.0383493603627016,10.0,699.5,729.9,694.1,719.14,717.5,715.915,692.58,0.038349360362701645,False,False,False
BAJFINANCE,EQ,2024-06-10,7191.4,7250.0,7250.0,7075.25,7081.55,7088.85,7141.92,872318,6230023590.95,89665,458110,52.52,-0.0142600884389686,10.0,725.0,725.0,707.525,708.885,708.155,714.192,719.14,-0.014260088438968754,False,False,False
BAJFINANCE,EQ,2024-06-11,7088.85,7083.0,7169.0,7051.0,7149.0,7138.1,7130.46,1205213,8593720571.7,113947,594662,49.34,0.0069475302764199,10.0,708.3,716.9,705.1,713.8100000000001,714.9,713.046,708.885,0.006947530276420144,False,False,False
BAJFINANCE,EQ,2024-06-12,7138.1,7148.0,7277.0,7115.0,7225.0,7217.75,7226.06,1268508,9166320923.85,112607,724698,57.13,0.0111584315153892,10.0,714.8,727.7,711.5,721.775,722.5,722.606,713.8100000000001,0.0111584315153892,False,False,False
BAJFINANCE,EQ,2024-06-13,7217.75,7252.2,7325.0,7232.15,7289.0,7294.95,7287.98,1345495,9805940005.85,102871,880347,65.43,0.0106958539711128,10.0,725.22,732.5,723.2149999999999,729.495,728.9,728.798,721.775,0.010695853971112834,False,False,False
BAJFINANCE,EQ,2024-06-14,7294.95,7296.05,7370.0,7247.0,7340.5,7341.55,7326.5,1187488,8700131590.0,93722,700800,59.02,0.0063879807263929,10.0,729.605,737.0,724.7,734.155,734.05,732.65,729.495,0.006387980726392906,False,False,False
BAJFINANCE,EQ,2024-06-18,7341.55,7365.0,7429.45,7300.0,7321.0,7334.7,7360.56,946904,6969748285.6,97811,441016,46.57,-0.0009330454740484,10.0,736.5,742.9449999999999,730.0,733.47,732.1,736.056,734.155,-0.0009330454740482663,False,False,False
BAJFINANCE,EQ,2024-06-19,7334.7,7334.7,7348.95,7177.9,7234.15,7233.95,7255.43,520400,3775728250.45,62047,191314,36.76,-0.0137360764584781,10.0,733.47,734.895,717.79,723.395,723.415,725.543,733.47,-0.013736076458478297,False,False,False
BAJFINANCE,EQ,2024-06-20,7233.95,7220.0,7264.9,7111.0,7215.0,7207.1,7184.01,900158,6466746499.1,110362,362412,40.26,-0.0037116651345391,10.0,722.0,726.49,711.1,720.71,721.5,718.4010000000001,723.395,-0.0037116651345391327,False,False,False
BAJFINANCE,EQ,2024-06-21,7207.1,7239.3,7265.0,7075.0,7113.0,7134.25,7131.59,1499818,10696080598.05,147750,742614,49.51,-0.0101080878578069,10.0,723.9300000000001,726.5,707.5,713.425,711.3,713.159,720.71,-0.010108087857807035,False,False,False
BAJFINANCE,EQ,2024-06-24,7134.25,7076.0,7106.95,7020.55,7084.8,7081.85,7069.34,635654,4493652338.35,59207,319762,50.3,-0.0073448505449065,10.0,707.6,710.6949999999999,702.0550000000001,708.1850000000001,708.48,706.934,713.425,-0.007344850544906412,False,False,False
BAJFINANCE,EQ,2024-06-25,7081.85,7101.0,7140.0,6998.0,7082.05,7074.45,7062.32,1560811,11022940326.15,155247,511263,32.76,-0.0010449247018787,10.0,710.1,714.0,699.8,707.4449999999999,708.205,706.232,708.1850000000001,-0.001044924701878891,False,False,False
BAJFINANCE,EQ,2024-06-26,7074.45,7070.0,7179.25,7035.0,7148.0,7158.2,7118.57,912552,6496064378.15,90882,474529,52.0,0.0118383761281795,10.0,707.0,717.925,703.5,715.8199999999999,714.8,711.857,707.4449999999999,0.011838376128179506,False,False,False
BAJFINANCE,EQ,2024-06-27,7158.2,7150.0,7239.0,7083.05,7170.0,7166.75,7162.92,1137606,8148578517.55,138114,417001,36.66,0.0011944343550054,10.0,715.0,723.9,708.3050000000001,716.675,717.0,716.292,715.8199999999999,0.001194434355005436,False,False,False
BAJFINANCE,EQ,2024-06-28,7166.75,7165.0,7226.0,7105.3,7119.0,7115.55,7145.35,829584,5927671837.8,92953,420233,50.66,-0.0071441029755467,10.0,716.5,722.6,710.53,711.5550000000001,711.9,714.5350000000001,716.675,-0.0071441029755466845,False,False,False
BAJFINANCE,EQ,2024-07-01,7115.55,7075.0,7304.0,7075.0,7262.2,7276.75,7215.1,772745,5575435152.85,70472,302113,39.1,0.0226546085685575,10.0,707.5,730.4,707.5,727.675,726.22,721.51,711.5550000000001,0.0226546085685575,False,False,False
BAJFINANCE,EQ,2024-07-02,7276.75,7275.0,7275.95,7122.0,7158.8,7165.6,7173.56,1281027,9189527030.4,128205,447912,34.97,-0.0152746761947297,10.0,727.5,727.595,712.2,716.5600000000001,715.88,717.356,727.675,-0.015274676194729664,False,False,False
BAJFINANCE,EQ,2024-07-03,7165.6,7189.95,7284.65,7170.0,7265.4,7258.8,7234.45,836393,6050844929.95,82895,459247,54.91,0.0130065870269062,10.0,718.995,728.4649999999999,717.0,725.88,726.54,723.4449999999999,716.5600000000001,0.013006587026906269,False,False,False
BAJFINANCE,EQ,2024-07-04,7258.8,7301.05,7325.0,7100.0,7109.0,7107.05,7182.11,1897977,13631486626.25,133300,826903,43.57,-0.0209056593376315,10.0,730.105,732.5,710.0,710.705,710.9,718.211,725.88,-0.020905659337631555,False,False,False
BAJFINANCE,EQ,2024-07-05,7107.05,7134.0,7149.9,7077.0,7127.0,7138.0,7115.41,931079,6625012346.7,89558,390996,41.99,0.004354830766633,10.0,713.4,714.99,707.7,713.8,712.7,711.5409999999999,710.705,0.004354830766633011,False,False,False
BAJFINANCE,EQ,2024-07-08,7138.0,7144.95,7147.65,7047.0,7099.0,7098.25,7086.97,677705,4802876115.1,55085,347032,51.21,-0.005568786775007,10.0,714.495,714.765,704.7,709.825,709.9,708.697,713.8,-0.005568786775006829,False,False,False
BAJFINANCE,EQ,2024-07-09,7098.25,7109.85,7142.4,7042.0,7055.0,7068.05,7073.47,973503,6886046000.85,79828,553370,56.84,-0.004254569788328,10.0,710.985,714.24,704.2,706.8050000000001,705.5,707.347,709.825,-0.004254569788328055,False,False,False
BAJFINANCE,EQ,2024-07-10,7068.05,7068.0,7129.35,7021.0,7045.0,7054.95,7068.22,809714,5723233363.8,80417,465004,57.43,-0.0018534107710047,10.0,706.8,712.9350000000001,702.1,705.495,704.5,706.822,706.8050000000001,-0.0018534107710048708,False,False,False
