symbol,series,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_inr,no_of_trades,deliverable_qty,deliverable_pct,daily_return,adjustment_factor_applied,adjusted_open_price,adjusted_high_price,adjusted_low_price,adjusted_close_price,adjusted_last_price,adjusted_average_price,adjusted_prev_close,adjusted_daily_return,corporate_action_date,raw_extreme_return,adjusted_extreme_return
SBIN,EQ,2022-06-01,468.1,468.0,472.0,464.7,469.25,468.3,468.69,9424008,4416955450.55,119346,3343041,35.47,0.0004272591326639,1.0,468.0,472.0,464.7,468.3,469.25,468.69,468.1,0.00042725913266394855,False,False,False
SBIN,EQ,2022-06-02,468.3,466.9,472.35,466.15,470.0,469.85,469.68,9370989,4401383675.1,114087,2829770,30.2,0.0033098441170189,1.0,466.9,472.35,466.15,469.85,470.0,469.68,468.3,0.0033098441170189563,False,False,False
SBIN,EQ,2022-06-03,469.85,473.25,475.5,463.5,465.0,464.5,470.15,11306291,5315646218.95,114757,4956294,43.84,-0.0113866127487496,1.0,473.25,475.5,463.5,464.5,465.0,470.15,469.85,-0.011386612748749636,False,False,False
SBIN,EQ,2022-06-06,464.5,464.2,465.6,456.5,463.6,463.7,461.88,10661432,4924334007.85,137662,3701362,34.72,-0.0017222820236814,1.0,464.2,465.6,456.5,463.7,463.6,461.88,464.5,-0.0017222820236814096,False,False,False
SBIN,EQ,2022-06-07,463.7,461.85,465.95,460.5,463.95,463.4,462.95,7672515,3551990864.45,108268,2930211,38.19,-0.0006469700237222,1.0,461.85,465.95,460.5,463.4,463.95,462.95,463.7,-0.0006469700237222709,False,False,False
SBIN,EQ,2022-06-08,463.4,466.6,475.55,463.2,471.0,471.3,470.58,17168871,8079264816.6,192002,6597993,38.43,0.0170479067760034,1.0,466.6,475.55,463.2,471.3,471.0,470.58,463.4,0.01704790677600343,False,False,False
SBIN,EQ,2022-06-09,471.3,468.95,470.9,462.45,467.2,466.95,465.94,12635601,5887439316.6,158259,5413414,42.84,-0.0092297899427117,1.0,468.95,470.9,462.45,466.95,467.2,465.94,471.3,-0.00922978994271173,False,False,False
SBIN,EQ,2022-06-10,466.95,462.0,464.15,458.6,462.1,461.85,461.6,8621104,3979479308.5,127828,3062201,35.52,-0.010921940250562,1.0,462.0,464.15,458.6,461.85,462.1,461.6,466.95,-0.010921940250562034,False,False,False
SBIN,EQ,2022-06-13,461.85,454.0,454.05,442.1,446.1,445.85,446.07,13426836,5989284598.4,203861,5856727,43.62,-0.0346432824510122,1.0,454.0,454.05,442.1,445.85,446.1,446.07,461.85,-0.034643282451012225,False,False,False
SBIN,EQ,2022-06-14,445.85,445.0,449.25,443.35,448.0,448.1,446.47,11351101,5067902738.85,136687,4257354,37.51,0.0050465403162498,1.0,445.0,449.25,443.35,448.1,448.0,446.47,445.85,0.005046540316249848,False,False,False
SBIN,EQ,2022-06-15,448.1,448.95,455.45,448.6,450.25,451.35,452.6,9920926,4490231934.55,119413,3821460,38.52,0.0072528453470208,1.0,448.95,455.45,448.6,451.35,450.25,452.6,448.1,0.007252845347020864,False,False,False
SBIN,EQ,2022-06-16,451.35,455.15,457.75,440.15,441.15,441.6,448.44,10780703,4834445595.35,139788,3802794,35.27,-0.0216018610834164,1.0,455.15,457.75,440.15,441.6,441.15,448.44,451.35,-0.02160186108341644,False,False,False
SBIN,EQ,2022-06-17,441.6,440.0,447.55,437.25,442.5,441.0,443.05,14326050,6347137199.65,167655,6062938,42.32,-0.0013586956521739,1.0,440.0,447.55,437.25,441.0,442.5,443.05,441.6,-0.0013586956521739468,False,False,False
SBIN,EQ,2022-06-20,441.0,441.5,443.45,430.7,434.65,434.7,436.85,12368534,5403153186.35,172757,4715450,38.12,-0.0142857142857143,1.0,441.5,443.45,430.7,434.7,434.65,436.85,441.0,-0.014285714285714346,False,False,False
SBIN,EQ,2022-06-21,434.7,439.5,454.95,437.6,451.0,450.75,447.76,13801891,6179936791.15,178846,4775043,34.6,0.0369220151828848,1.0,439.5,454.95,437.6,450.75,451.0,447.76,434.7,0.03692201518288485,False,False,False
SBIN,EQ,2022-06-22,450.75,448.75,451.2,444.65,447.05,447.65,447.71,11066447,4954585919.8,111722,4316772,39.01,-0.00687742651137,1.0,448.75,451.2,444.65,447.65,447.05,447.71,450.75,-0.006877426511370022,False,False,False
SBIN,EQ,2022-06-23,447.65,449.0,456.45,446.0,451.25,451.4,451.63,12229833,5523391671.25,157832,3432786,28.07,0.0083770803082765,1.0,449.0,456.45,446.0,451.4,451.25,451.63,447.65,0.008377080308276552,False,False,False
SBIN,EQ,2022-06-24,451.4,455.8,460.35,453.2,454.55,454.25,455.97,10833364,4939643608.55,127154,4266938,39.39,0.0063136907399203,1.0,455.8,460.35,453.2,454.25,454.55,455.97,451.4,0.006313690739920386,False,False,False
SBIN,EQ,2022-06-27,454.25,459.95,464.85,458.05,461.55,461.2,461.18,9509175,4385421054.0,103487,3248514,34.16,0.0152999449642268,1.0,459.95,464.85,458.05,461.2,461.55,461.18,454.25,0.01529994496422682,False,False,False
SBIN,EQ,2022-06-28,461.2,458.9,465.75,458.0,464.75,464.25,462.78,13261290,6137031012.35,168906,6701665,50.54,0.0066131830008673,1.0,458.9,465.75,458.0,464.25,464.75,462.78,461.2,0.006613183000867329,False,False,False
SBIN,EQ,2022-06-29,464.25,460.0,462.7,458.0,458.95,459.1,460.55,11800876,5434914241.85,107588,5699030,48.29,-0.0110931610123855,1.0,460.0,462.7,458.0,459.1,458.95,460.55,464.25,-0.011093161012385555,False,False,False
SBIN,EQ,2022-06-30,459.1,459.0,469.3,458.6,465.6,465.9,465.57,16926328,7880439985.75,186175,7966400,47.07,0.0148115878893486,1.0,459.0,469.3,458.6,465.9,465.6,465.57,459.1,0.014811587889348665,False,False,False
SBIN,EQ,2022-07-01,465.9,463.35,468.8,460.55,468.5,466.85,465.07,9405495,4374195289.05,116790,3705513,39.4,0.0020390641768621,1.0,463.35,468.8,460.55,466.85,468.5,465.07,465.9,0.002039064176862171,False,False,False
SBIN,EQ,2022-07-04,466.85,466.85,474.15,466.85,473.95,473.45,470.57,9186358,4322793774.1,115285,3597397,39.16,0.0141373032023133,1.0,466.85,474.15,466.85,473.45,473.95,470.57,466.85,0.014137303202313323,False,False,False
SBIN,EQ,2022-07-05,473.45,475.15,480.0,471.0,472.55,472.15,475.99,12003244,5713384767.95,143727,5860719,48.83,-0.0027458020910339,1.0,475.15,480.0,471.0,472.15,472.55,475.99,473.45,-0.002745802091033922,False,False,False
SBIN,EQ,2022-07-06,472.15,475.15,481.0,473.9,480.55,479.95,478.18,12059857,5766832535.75,179395,6050389,50.17,0.0165201736736206,1.0,475.15,481.0,473.9,479.95,480.55,478.18,472.15,0.016520173673620686,False,False,False
SBIN,EQ,2022-07-07,479.95,484.0,488.25,481.6,486.9,486.75,485.27,11497832,5579593687.8,173806,4532216,39.42,0.0141681425148452,1.0,484.0,488.25,481.6,486.75,486.9,485.27,479.95,0.014168142514845217,False,False,False
SBIN,EQ,2022-07-08,486.75,489.0,489.9,485.15,488.45,488.55,487.44,9057231,4414856472.4,162363,4119292,45.48,0.0036979969183359,1.0,489.0,489.9,485.15,488.55,488.45,487.44,486.75,0.003697996918335944,False,False,False
SBIN,EQ,2022-07-11,488.55,485.0,491.3,485.0,488.05,488.2,488.75,7704792,3765716046.15,94857,2892361,37.54,-0.000716405690308,1.0,485.0,491.3,485.0,488.2,488.05,488.75,488.55,-0.000716405690308064,False,False,False
SBIN,EQ,2022-07-12,488.2,485.0,491.35,483.1,483.4,484.95,488.66,7364457,3598704148.85,108367,2291145,31.11,-0.0066571077427284,1.0,485.0,491.35,483.1,484.95,483.4,488.66,488.2,-0.00665710774272843,False,False,False
